fishID,Species,resolution,actual_length_mm,actual_width_mm,predicted_length_mm,predicted_width_mm,length_err_mm,width_err_mm,length_err_pc,width_err_pc,actual_weight_kg,Weight prediction pixel count,Weight prediction actual length,prediction_error_pixel,prediciton_err_actual,prediction_error_pixel_pc,prediciton_error_actual_pc
2,Snapper,low,410,130,370.5273438,133.4375,39.47265625,-3.4375,9.627477134,2.644230769,0.9,1.083247296,1.482118278,-0.183247296,-0.582118279,20.3608107,64.67980872
11,Snapper,high,350,130,329.375,120.625,-1.333333333,1.333333333,0.380952381,1.025641026,0.565,0.752279363,0.90796685,-0.187279363,-0.34296685,33.14678989,60.70209725
12,Snapper,low,370,140,353.75,128.75,16.25,11.25,4.391891892,8.035714286,0.655,0.938434921,1.078479759,-0.283434921,-0.423479759,43.27250696,64.65339826
5,Snapper,low,400,140,364.7676768,126.9292929,35.23232323,13.07070707,8.808080808,9.336219336,0.785,1.03194342,1.373001628,-0.24694342,-0.588001628,31.45776049,74.90466599
30,Snapper,high,400,130,389.6774194,125.8064516,-4,2.333333333,1,1.794871795,0.75,1.266208979,1.373001628,-0.516208979,-0.623001628,68.82786381,83.06688374
31,Snapper,high,350,125,381.3793103,128.6206897,15.33333333,8,4.380952381,6.4,0.545,1.184552429,0.90796685,-0.63955243,-0.36296685,117.3490696,66.59942192
32,Snapper,high,370,115,358.0645161,115.483871,-2.666666667,-6,0.720720721,5.217391304,0.59,0.974337367,1.078479759,-0.384337367,-0.488479759,65.1419266,82.79317943
33,Snapper,high,330,110,353.7931034,116.8965517,-7,0,2.121212121,0,0.425,0.938789094,0.756709055,-0.513789094,-0.331709055,120.8915516,78.0491894
34,Snapper,low,420,140,397.8571429,138.5714286,22.14285714,1.428571429,5.272108844,1.020408163,0.795,1.350349761,1.596961004,-0.555349761,-0.801961005,69.85531589,100.875598
13,Blue mackerel,high,300,55,305.6666667,58.66666667,-5.666666667,-3.666666667,1.888888889,6.666666667,0.275,0.198255948,0.186868329,0.076744052,0.088131671,27.90692815,32.04788042
14,Blue mackerel,high,310,60,320.6666667,57.33333333,-10.66666667,2.666666667,3.440860215,4.444444444,0.29,0.230673295,0.207277699,0.059326705,0.082722301,20.4574846,28.52493154
15,Blue mackerel,high,290,50,294.6666667,54.33333333,-4.666666667,-4.333333333,1.609195402,8.666666667,0.25,0.176566855,0.167877519,0.073433145,0.082122481,29.37325806,32.8489924
16,Blue mackerel,low,290,50,278.75,51.25,11.25,-1.25,3.879310345,2.5,0.235,0.148140313,0.167877519,0.086859687,0.067122481,36.96156899,28.56275788
17,Blue mackerel,low,305,55,300,52.5,5,2.5,1.639344262,4.545454545,0.265,0.186868329,0.19689226,0.078131671,0.06810774,29.48364949,25.70103405
21,Tiger flathead,low,380,80,376.25,75,3.75,5,0.986842105,6.25,0.405,0.387291261,0.399446246,0.017708739,0.005553754,4.372528096,1.371297256
22,Tiger flathead,high,390,80,415.5172414,78.62068966,-11.66666667,4,2.991452991,5,0.41,0.527684057,0.433121103,-0.117684057,-0.023121103,28.70342849,5.639293399
23,Tiger flathead,high,375,80,383.3333333,74.66666667,-8.333333333,5.333333333,2.222222222,6.666666667,0.375,0.410465903,0.383296106,-0.035465903,-0.008296106,9.457574171,2.212295046
24,Tiger flathead,high,370,75,394.137931,75.17241379,-11,2.333333333,2.972972973,3.111111111,0.37,0.447601637,0.367595236,-0.077601637,0.002404764,20.97341537,0.649936238
25,Tiger flathead,low,370,70,358.75,68.75,11.25,1.25,3.040540541,1.785714286,0.33,0.333876337,0.367595236,-0.003876337,-0.037595236,1.174647439,11.39249573
26,Dusky flathead,high,540,120,541.2903226,104.8387097,-19.33333333,11.66666667,3.580246914,9.722222222,1.38,1.037493809,1.029544762,0.342506191,0.350455238,24.81928922,25.39530712
27,Dusky flathead,high,575,110,548.125,111.875,-9.666666667,-9.333333333,1.68115942,8.484848485,1.46,1.080306096,1.260491498,0.379693904,0.199508502,26.00643177,13.66496588
28,Dusky flathead,low,520,100,503.75,97.5,16.25,2.5,3.125,2.5,0.945,0.822981364,0.911642879,0.122018636,0.033357121,12.91202501,3.529854083
29,Dusky flathead,high,490,90,471.2903226,89.35483871,7.666666667,-1.333333333,1.56462585,1.481481481,0.87,0.664003008,0.752760982,0.205996992,0.117239018,23.67781516,13.47574916
4,Dusky flathead,low,420,100,379.743083,85.59288538,40.256917,14.40711462,9.584980237,14.40711462,0.535,0.331047502,0.458048407,0.203952498,0.076951593,38.12196217,14.38347524
