fishID,GTfish,predicted_class,predicted_class_confidence,correct_classification_confidence ,camera_height,fish_angle,fish_orientation,length,width,height,weight
1,Flathead,Dusky Flathead,0.73,0.734094739,1.00,0,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.65,0.65843755,1.00,45,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.47,0.264876842,1.00,90,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.76,0.76415,1.00,135,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.7,0.709681451,1.00,180,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.81,0.818863153,1.00,225,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.62,0.623045444,1.00,270,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.58,0.582369387,1.00,315,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.6,0.609997928,1.00,0,Dorsal,360,70,25,0.275
1,Flathead,Dusky Flathead,0.46,0.468074441,1.00,0,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.86,0.864923477,1.00,45,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.35,0.250515044,1.00,90,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.27,0.278536737,1.00,135,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.33,0.334304124,1.00,180,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.71,0.713296473,1.00,225,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.45,0.459827185,1.00,270,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.4,0.40108186,1.00,315,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.33,0.331193537,1.00,0,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.54,0.544385,1.50,0,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.83,0.833431184,1.50,45,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.81,0.815624058,1.50,90,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.79,0.796573222,1.50,135,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.81,0.817937136,1.50,180,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.85,0.854394555,1.50,225,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.64,0.64457,1.50,270,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.65,0.656667709,1.50,315,Ventral,360,70,25,0.275
1,Flathead,Dusky Flathead,0.85,0.850033045,1.50,0,Ventral,360,70,25,0.275
